Request_Id,Pickup_Point,Driver_Id,Status,Request_Timestamp,Drop _Timestamp,Request_Date,Request_Hour,,Drop_Hour,Trip_Duration(in minutes)
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,13-07-2016,21,,22,57.08333333
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,14-07-2016,21,,22,62.26666666
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,15-07-2016,2,,3,43.08333334
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,15-07-2016,10,,10,52.38333334
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,11-07-2016,13,,13,41
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,12-07-2016,6,,7,49
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,12-07-2016,9,,10,60
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,12-07-2016,16,,17,51.99999999
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,13-07-2016,5,,6,35.64999999
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,13-07-2016,19,,20,34.08333333
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,14-07-2016,2,,3,64.05
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,14-07-2016,13,,13,44.3
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,15-07-2016,8,,9,67.23333333
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15-07-2016,15,,15,46.18333334
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,11-07-2016,7,,8,64
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,11-07-2016,11,,12,58
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,11-07-2016,20,,21,47
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,12-07-2016,8,,9,43
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,12-07-2016,14,,15,61.99999999
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,12-07-2016,21,,22,57
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,13-07-2016,7,,8,61.55
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,13-07-2016,12,,12,32.18333333
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,14-07-2016,6,,7,66.61666667
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,15-07-2016,9,,10,58.28333334
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,15-07-2016,22,,23,69.31666667
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,12-07-2016,5,,6,42.99999999
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,12-07-2016,13,,13,48.99999999
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,13-07-2016,6,,7,50.03333334
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,13-07-2016,21,,22,52.35
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,14-07-2016,2,,3,53.21666667
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14-07-2016,14,,15,48.11666666
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,14-07-2016,21,,22,51.80000001
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,15-07-2016,0,,1,64
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,15-07-2016,7,,8,46.06666666
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,15-07-2016,14,,15,65.05
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,11-07-2016,19,,20,70
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,11-07-2016,22,,23,65
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,12-07-2016,20,,21,48.99999999
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,14-07-2016,3,,4,59.43333333
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,14-07-2016,9,,10,65.8
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,14-07-2016,18,,19,58.41666667
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,15-07-2016,9,,10,50.18333333
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15-07-2016,15,,16,46.68333333
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,11-07-2016,8,,9,60
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,11-07-2016,19,,20,51
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,12-07-2016,8,,9,27
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,12-07-2016,21,,22,75
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,13-07-2016,10,,11,44.91666667
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,14-07-2016,11,,12,64.4
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,11-07-2016,9,,9,44
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,11-07-2016,17,,18,66.00000001
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,11-07-2016,23,,0,44
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,12-07-2016,5,,5,42.99999999
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,12-07-2016,18,,18,34
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,13-07-2016,8,,8,31.66666667
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,13-07-2016,17,,17,28.31666666
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,13-07-2016,20,,21,46.08333334
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,13-07-2016,23,,0,59.96666667
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,14-07-2016,4,,5,45.41666667
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,14-07-2016,17,,19,63.93333333
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,15-07-2016,5,,6,38
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,15-07-2016,11,,12,40.93333334
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,12-07-2016,9,,10,48
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,12-07-2016,15,,16,66
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,13-07-2016,9,,10,65.51666666
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,14-07-2016,7,,8,57.43333333
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,14-07-2016,13,,14,39.53333333
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,15-07-2016,6,,7,46.88333333
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,15-07-2016,16,,17,71.88333334
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,12-07-2016,14,,15,51
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,13-07-2016,10,,11,62.58333334
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13-07-2016,13,,14,39.26666667
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,14-07-2016,6,,7,30.08333332
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,14-07-2016,18,,19,52.31666667
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,15-07-2016,7,,7,50.16666667
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,15-07-2016,8,,9,51.01666666
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,15-07-2016,19,,20,40.18333334
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,11-07-2016,3,,4,52
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,11-07-2016,6,,7,49
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,11-07-2016,21,,21,33
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,12-07-2016,5,,6,60.00000001
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,12-07-2016,20,,21,68
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,12-07-2016,22,,23,36.99999999
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,14-07-2016,2,,3,58.9
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,14-07-2016,10,,11,63.78333333
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,14-07-2016,19,,20,42.71666667
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,15-07-2016,7,,8,67.69999999
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,15-07-2016,10,,10,43.01666666
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,15-07-2016,19,,19,41.3
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,11-07-2016,5,,6,55.99999999
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,11-07-2016,7,,8,64
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,11-07-2016,11,,12,51
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,11-07-2016,19,,19,42
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,12-07-2016,8,,8,41.00000001
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,13-07-2016,8,,9,63.25
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,14-07-2016,5,,6,73.29999999
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,14-07-2016,11,,12,46.88333333
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,14-07-2016,21,,22,40.81666666
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,15-07-2016,5,,6,62.23333333
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,15-07-2016,22,,22,32.6
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,11-07-2016,5,,6,48
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,11-07-2016,6,,7,52
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,12-07-2016,9,,10,42.99999999
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,12-07-2016,21,,22,71
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13-07-2016,13,,13,54.28333333
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,14-07-2016,21,,22,30.83333333
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,15-07-2016,17,,18,58.8
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,15-07-2016,23,,0,65.03333333
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,11-07-2016,19,,20,66
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,12-07-2016,23,,0,52.20000001
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,13-07-2016,9,,10,51.23333332
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,13-07-2016,21,,22,29.16666666
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,14-07-2016,8,,9,39.25000001
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,14-07-2016,20,,21,30.8
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,15-07-2016,12,,13,62.86666667
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,15-07-2016,20,,20,37.84999999
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,11-07-2016,11,,12,66
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,11-07-2016,14,,15,47
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,11-07-2016,20,,21,62
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,12-07-2016,23,,0,64.35
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,13-07-2016,5,,5,50.91666667
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,13-07-2016,10,,10,32.61666666
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,13-07-2016,15,,16,73.71666666
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,13-07-2016,22,,22,29.46666666
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,14-07-2016,4,,5,69.3
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,14-07-2016,8,,9,42.93333333
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14-07-2016,14,,15,62.44999999
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,14-07-2016,22,,23,61.91666667
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,15-07-2016,16,,17,79.1
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,15-07-2016,20,,21,59.81666667
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,11-07-2016,12,,13,41
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,11-07-2016,18,,19,61
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,12-07-2016,22,,23,75
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,13-07-2016,7,,8,52.78333333
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14-07-2016,14,,15,44.78333334
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,14-07-2016,18,,19,56.03333334
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,14-07-2016,23,,0,49.86666667
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,15-07-2016,4,,5,58.26666667
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,15-07-2016,11,,12,66.5
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,15-07-2016,20,,21,39.08333333
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,11-07-2016,9,,10,36.99999999
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,11-07-2016,20,,21,35.99999999
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,12-07-2016,3,,4,73
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,12-07-2016,9,,9,45
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,12-07-2016,11,,12,41
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,13-07-2016,1,,2,50.43333334
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,13-07-2016,5,,6,42.18333333
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,13-07-2016,22,,23,57.7
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,14-07-2016,16,,17,47.40000001
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,14-07-2016,20,,21,58.66666667
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,15-07-2016,9,,10,71.41666667
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016 10:02,11-07-2016,9,,10,26
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016 06:35,12-07-2016,5,,6,74
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016 15:09,12-07-2016,14,,15,39
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016 22:44,12-07-2016,21,,22,75
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,13-07-2016,21,,21,39.45
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,14-07-2016,6,,6,47.91666667
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,14-07-2016,8,,8,54.4
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,15-07-2016,10,,10,55.75
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,15-07-2016,12,,12,49.35
468,City,20,Trip Completed,11-07-2016 09:20,11-07-2016 10:05,11-07-2016,9,,10,45
693,Airport,20,Trip Completed,11-07-2016 13:51,11-07-2016 15:01,11-07-2016,13,,15,70.00000001
1178,City,20,Trip Completed,11-07-2016 21:05,11-07-2016 22:06,11-07-2016,21,,22,61
2103,City,20,Trip Completed,12-07-2016 16:08,12-07-2016 17:18,12-07-2016,16,,17,70
2292,Airport,20,Trip Completed,12-07-2016 18:46,12-07-2016 19:23,12-07-2016,18,,19,36.99999999
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,13-07-2016,12,,13,49.46666666
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,13-07-2016,19,,20,61.81666667
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,14-07-2016,8,,9,62.91666666
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,15-07-2016,19,,20,39.13333332
1895,City,21,Trip Completed,12-07-2016 10:20,12-07-2016 10:52,12-07-2016,10,,10,32
1981,Airport,21,Trip Completed,12-07-2016 12:23,12-07-2016 12:56,12-07-2016,12,,12,33
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,13-07-2016,20,,21,54.51666667
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,14-07-2016,8,,9,45.5
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,15-07-2016,13,,13,26.95
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,15-07-2016,20,,22,78.26666667
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016 06:06,11-07-2016,5,,6,61
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016 09:18,11-07-2016,8,,9,77
666,Airport,22,Trip Completed,11-07-2016 13:02,11-07-2016 13:45,11-07-2016,13,,13,42.99999999
926,City,22,Trip Completed,11-07-2016 18:28,11-07-2016 19:34,11-07-2016,18,,19,66.00000001
1180,Airport,22,Trip Completed,11-07-2016 21:01,11-07-2016 22:14,11-07-2016,21,,22,73
1900,City,22,Trip Completed,12-07-2016 10:32,12-07-2016 11:42,12-07-2016,10,,11,70.00000001
2506,City,22,Trip Completed,12-07-2016 21:01,12-07-2016 21:38,12-07-2016,21,,21,36.99999999
3064,City,22,Trip Completed,13-07-2016 08:02,13-07-2016 08:58,13-07-2016,8,,8,56.71666667
3327,Airport,22,Trip Completed,13-07-2016 12:24,13-07-2016 13:23,13-07-2016,12,,13,58.96666667
3601,City,22,Trip Completed,13-07-2016 18:39,13-07-2016 19:29,13-07-2016,18,,19,50.11666667
4768,Airport,22,Trip Completed,14-07-2016 15:39,14-07-2016 16:49,14-07-2016,15,,16,69.65
5142,City,22,Trip Completed,14-07-2016 20:17,14-07-2016 20:48,14-07-2016,20,,20,31.11666667
5366,Airport,22,Trip Completed,14-07-2016 23:27,15-07-2016 00:19,14-07-2016,23,,0,52.46666666
5575,City,22,Trip Completed,15-07-2016 05:53,15-07-2016 06:50,15-07-2016,5,,6,56.11666667
5902,City,22,Trip Completed,15-07-2016 09:52,15-07-2016 10:37,15-07-2016,9,,10,44.13333333
6694,Airport,22,Trip Completed,15-07-2016 22:45,15-07-2016 23:17,15-07-2016,22,,23,32.15
523,Airport,23,Trip Completed,11-07-2016 09:48,11-07-2016 10:37,11-07-2016,9,,10,49
747,City,23,Trip Completed,11-07-2016 15:53,11-07-2016 16:43,11-07-2016,15,,16,50
1371,Airport,23,Trip Completed,12-07-2016 00:22,12-07-2016 01:33,12-07-2016,0,,1,71
1553,City,23,Trip Completed,12-07-2016 06:09,12-07-2016 07:09,12-07-2016,6,,7,60.00000001
1692,Airport,23,Trip Completed,12-07-2016 07:52,12-07-2016 09:01,12-07-2016,7,,9,69
2114,City,23,Trip Completed,12-07-2016 16:36,12-07-2016 17:21,12-07-2016,16,,17,45
2742,City,23,Trip Completed,13-07-2016 03:07,13-07-2016 03:51,13-07-2016,3,,3,43.96666667
4273,City,23,Trip Completed,14-07-2016 06:17,14-07-2016 07:02,14-07-2016,6,,7,45.45
4668,City,23,Trip Completed,14-07-2016 12:25,14-07-2016 13:34,14-07-2016,12,,13,69.93333334
5425,City,23,Trip Completed,15-07-2016 02:23,15-07-2016 03:08,15-07-2016,2,,3,44.64999999
5488,City,23,Trip Completed,15-07-2016 04:53,15-07-2016 06:00,15-07-2016,4,,6,66.56666667
5781,City,23,Trip Completed,15-07-2016 08:35,15-07-2016 09:42,15-07-2016,8,,9,66.66666667
5966,Airport,23,Trip Completed,15-07-2016 10:54,15-07-2016 11:58,15-07-2016,10,,11,64.28333334
6122,City,23,Trip Completed,15-07-2016 15:26,15-07-2016 16:29,15-07-2016,15,,16,63.56666666
357,Airport,24,Trip Completed,11-07-2016 08:00,11-07-2016 09:08,11-07-2016,8,,9,68
1068,City,24,Trip Completed,11-07-2016 19:52,11-07-2016 20:48,11-07-2016,19,,20,56
2689,Airport,24,Trip Completed,13-07-2016 00:34,13-07-2016 01:49,13-07-2016,0,,1,75.08333334
2791,City,24,Trip Completed,13-07-2016 04:56,13-07-2016 05:33,13-07-2016,4,,5,37.00000001
3321,City,24,Trip Completed,13-07-2016 12:23,13-07-2016 13:25,13-07-2016,12,,13,62.2
3423,Airport,24,Trip Completed,13-07-2016 15:52,13-07-2016 16:50,13-07-2016,15,,16,58.65000001
3761,Airport,24,Trip Completed,13-07-2016 20:35,13-07-2016 21:39,13-07-2016,20,,21,63.63333333
4140,City,24,Trip Completed,14-07-2016 04:48,14-07-2016 06:05,14-07-2016,4,,6,76.86666667
4656,City,24,Trip Completed,14-07-2016 12:06,14-07-2016 12:49,14-07-2016,12,,12,42.78333334
4931,Airport,24,Trip Completed,14-07-2016 18:21,14-07-2016 18:54,14-07-2016,18,,18,32.18333333
5268,City,24,Trip Completed,14-07-2016 21:29,14-07-2016 22:30,14-07-2016,21,,22,60.6
5811,City,24,Trip Completed,15-07-2016 08:46,15-07-2016 09:26,15-07-2016,8,,9,40.05000001
6139,Airport,24,Trip Completed,15-07-2016 15:45,15-07-2016 16:40,15-07-2016,15,,16,55.41666667
6333,Airport,24,Trip Completed,15-07-2016 18:41,15-07-2016 19:53,15-07-2016,18,,19,72.11666667
773,City,25,Trip Completed,11-07-2016 16:23,11-07-2016 17:21,11-07-2016,16,,17,58
1123,City,25,Trip Completed,11-07-2016 20:20,11-07-2016 21:18,11-07-2016,20,,21,58
2667,Airport,25,Trip Completed,12-07-2016 23:35,13-07-2016 00:40,12-07-2016,23,,0,65.86666666
2833,City,25,Trip Completed,13-07-2016 05:27,13-07-2016 06:19,13-07-2016,5,,6,51.86666666
3396,City,25,Trip Completed,13-07-2016 14:59,13-07-2016 15:57,13-07-2016,14,,15,58.26666667
3590,City,25,Trip Completed,13-07-2016 18:31,13-07-2016 19:31,13-07-2016,18,,19,60.45
3762,City,25,Trip Completed,13-07-2016 20:38,13-07-2016 21:21,13-07-2016,20,,21,43.23333334
4566,City,25,Trip Completed,14-07-2016 09:48,14-07-2016 10:22,14-07-2016,9,,10,33.93333333
4862,City,25,Trip Completed,14-07-2016 17:37,14-07-2016 18:41,14-07-2016,17,,18,63.93333333
5564,Airport,25,Trip Completed,15-07-2016 05:41,15-07-2016 06:53,15-07-2016,5,,6,72.18333333
6187,City,25,Trip Completed,15-07-2016 17:11,15-07-2016 18:08,15-07-2016,17,,18,57.05
6642,City,25,Trip Completed,15-07-2016 22:07,15-07-2016 22:54,15-07-2016,22,,22,46.8
322,City,26,Trip Completed,11-07-2016 07:31,11-07-2016 08:10,11-07-2016,7,,8,39
793,City,26,Trip Completed,11-07-2016 17:04,11-07-2016 18:06,11-07-2016,17,,18,62
898,Airport,26,Trip Completed,11-07-2016 18:14,11-07-2016 19:09,11-07-2016,18,,19,55
1258,City,26,Trip Completed,11-07-2016 21:51,11-07-2016 23:00,11-07-2016,21,,23,69
